"","Account","Type","Date","Num","Name","Memo","Split","Debit","Credit","Balance"
"739","Inventory Asset","Invoice","2018-02-12","71088","Cole Home Builders:Phase 1 - Lot 2","Die Cast Lanterns, Black, 1-100 watt, Medium Base, Clear Cracked Glass","Accounts Receivable",NA,228,119034.65
"740","Inventory Asset","Invoice","2018-02-12","71088","Cole Home Builders:Phase 1 - Lot 2","Tapestry, (2-60 watt Med), Etched Cracked Glass, Finish 10","Accounts Receivable",NA,90,118944.65
"741","Inventory Asset","Invoice","2018-02-12","71088","Cole Home Builders:Phase 1 - Lot 2","Pearl Nickle, 5 Light, Medium Base (100 watt max)","Accounts Receivable",NA,160,118784.65
"742","Inventory Asset","Invoice","2018-02-12","71088","Cole Home Builders:Phase 1 - Lot 2","Sunset, Clear Glass, 1-100 watt max.","Accounts Receivable",NA,70,118714.65
"743","Inventory Asset","Invoice","2018-02-12","71088","Cole Home Builders:Phase 1 - Lot 2","Black Finish, Solid Brass, Clear Glass, Hanging, 2-60 watt max.","Accounts Receivable",NA,57.57,118657.08
"744","Inventory Asset","Invoice","2018-02-12","71088","Cole Home Builders:Phase 1 - Lot 2","Burnished Brass (60 watt)  w/Golden Umber Accents","Accounts Receivable",NA,75,118582.08
"745","Inventory Asset","Invoice","2018-02-12","71088","Cole Home Builders:Phase 1 - Lot 2","Chestnut (3/60 watt)  Marble Glass","Accounts Receivable",NA,97.78,118484.3
"746","Inventory Asset","Invoice","2018-02-12","71088","Cole Home Builders:Phase 1 - Lot 2","Pendant Bar, Textured White, 50lbs max","Accounts Receivable",NA,10,118474.3
"747","Inventory Asset","Invoice","2018-02-12","71088","Cole Home Builders:Phase 1 - Lot 2","Athena Collection, (100 watt max) Copper Verde, Seeded Glass","Accounts Receivable",NA,32.14,118442.16
"748","Inventory Asset","Invoice","2018-02-12","71088","Cole Home Builders:Phase 1 - Lot 2","Cand. Light, 20 watts (8 pack)","Accounts Receivable",NA,24,118418.16
"749","Inventory Asset","Invoice","2018-02-12","71088","Cole Home Builders:Phase 1 - Lot 2","Fluorescent Lamp, T-12, Medium Bipin  (30pack)","Accounts Receivable",NA,6.34,118411.82
"750","Inventory Asset","Invoice","2018-02-12","71088","Cole Home Builders:Phase 1 - Lot 2","Fluorescent Lamp, T-5, Bipin","Accounts Receivable",NA,6,118405.82
"751","Inventory Asset","Invoice","2018-02-12","71088","Cole Home Builders:Phase 1 - Lot 2","Halogen Lamp, Volts:3.5  Tubular","Accounts Receivable",NA,2.5,118403.32
"752","Inventory Asset","Invoice","2018-02-12","71088","Cole Home Builders:Phase 1 - Lot 2","Specialty Bulbs, 100 watt (6 pack)","Accounts Receivable",NA,9.5,118393.82
"753","Inventory Asset","Invoice","2018-02-12","71088","Cole Home Builders:Phase 1 - Lot 2","Specialty, Stage & Studio Bulbs  60 watt","Accounts Receivable",NA,20,118373.82
"754","Inventory Asset","Invoice","2018-02-12","71088","Cole Home Builders:Phase 1 - Lot 2","Flat Glass, (25 watt max) Polished Brass, 4 light","Accounts Receivable",NA,40,118333.82
"755","Inventory Asset","Invoice","2018-02-12","71088","Cole Home Builders:Phase 1 - Lot 2","Beveled Mirror, Etched Ribbed Glass (75 watt max)","Accounts Receivable",NA,48.25,118285.57
"756","Inventory Asset","Invoice","2018-02-14","71110","Baker's Professional Lighting:Store #05","River Rock (8/60 watt)  Faux Alabaster Glass","Accounts Receivable",NA,150,118135.57
"757","Inventory Asset","Invoice","2018-02-14","71110","Baker's Professional Lighting:Store #05","Chestnut (3/60 watt)  Marble Glass","Accounts Receivable",NA,97.78,118037.79
"758","Inventory Asset","Invoice","2018-02-14","71110","Baker's Professional Lighting:Store #05","Roman Bronze, 1-light Lantern, w/tail, (100 watt max)","Accounts Receivable",NA,380,117657.79
"759","Inventory Asset","Invoice","2018-02-14","71110","Baker's Professional Lighting:Store #05","Broadway Collection, Polished Brass, 6 Light (60 watt max)","Accounts Receivable",NA,60,117597.79
"760","Inventory Asset","Invoice","2018-02-14","71110","Baker's Professional Lighting:Store #05","Pearl Nickle, 5 Light, Medium Base (100 watt max)","Accounts Receivable",NA,80,117517.79
"761","Inventory Asset","Invoice","2018-02-14","71110","Baker's Professional Lighting:Store #05","Polished Brass Pendant, 1-100 watt Medium Base, Clear Ribbed Glass","Accounts Receivable",NA,128,117389.79
"762","Inventory Asset","Invoice","2018-02-14","71110","Baker's Professional Lighting:Store #05","Pendant Bar, Cobblestone, 50lbs. max","Accounts Receivable",NA,22.74,117367.05
"763","Inventory Asset","Bill","2018-02-15","P8890-01","Paulsen's Lighting","Pearl Nickle, 5 Light, Medium Base (100 watt max)","Accounts Payable",1000,NA,118367.05
"764","Inventory Asset","Bill","2018-02-15","P8890-01","Paulsen's Lighting","Roman Bronze, 1-light Lantern, w/tail, (100 watt max)","Accounts Payable",380,NA,118747.05
"765","Inventory Asset","Bill","2018-02-15","P8890-01","Paulsen's Lighting","Flush Mount, Polished Brass (2, 13 watt)  White acrylic diffuser","Accounts Payable",256,NA,119003.05
"766","Inventory Asset","Invoice","2018-02-18","71093","Miscellaneous - Retail:Ruth Kuver","Chestnut (3/60 watt)  Marble Glass","Accounts Receivable",NA,195.56,118807.49
"767","Inventory Asset","Invoice","2018-02-18","71093","Miscellaneous - Retail:Ruth Kuver","Verona Collection, Pendant, Cobblestone, Etched Alabaster Glass, 150 watt max","Accounts Receivable",NA,210,118597.49
"768","Inventory Asset","Invoice","2018-02-18","71093","Miscellaneous - Retail:Ruth Kuver","Pendant Bar, Cobblestone, 50lbs. max","Accounts Receivable",NA,22.74,118574.75
"769","Inventory Asset","Invoice","2018-02-18","71093","Miscellaneous - Retail:Ruth Kuver","Broadway Collection, Polished Brass, 6 Light (60 watt max)","Accounts Receivable",NA,90,118484.75
"770","Inventory Asset","Invoice","2018-02-20","71054","Miscellaneous - Retail:Mrs. Chris Holly","Vianne Lanterns, Satin Antiqued Solid Brass, 3-light wall latern, Candelabra base (60 watt max)","Accounts Receivable",NA,242.23,118242.52
"771","Inventory Asset","Invoice","2018-02-20","71054","Miscellaneous - Retail:Mrs. Chris Holly","White, 4.5x7.5, 1-100 watt Medium Base, Satin White Glass","Accounts Receivable",NA,45,118197.52
"772","Inventory Asset","Invoice","2018-02-20","71054","Miscellaneous - Retail:Mrs. Chris Holly","Frosted Taupe (3/60 watt)  Marble Glass  ","Accounts Receivable",NA,89.88,118107.64
"773","Inventory Asset","Invoice","2018-02-20","71054","Miscellaneous - Retail:Mrs. Chris Holly","Athena Collection, Pendant, Textured White, Med. Base, 100 watt max.","Accounts Receivable",NA,120,117987.64
"774","Inventory Asset","Invoice","2018-02-20","71054","Miscellaneous - Retail:Mrs. Chris Holly","Pendant Bar, Cobblestone, 50lbs. max","Accounts Receivable",NA,22.74,117964.9
"775","Inventory Asset","Invoice","2018-02-20","71054","Miscellaneous - Retail:Mrs. Chris Holly","Drop Opal w/Solid Oak Frame, 49 1/2 x 17, 120v HPF","Accounts Receivable",NA,40,117924.9
"776","Inventory Asset","Invoice","2018-02-23","71094","Miscellaneous - Retail:David Lo","Domes, White, 59x21x6 5/8 ht, 120v HPF","Accounts Receivable",NA,180,117744.9
"777","Inventory Asset","Invoice","2018-02-23","71094","Miscellaneous - Retail:David Lo","Tiffany Collection,Golden Baroque, 1-light lantern, medium base (100 watt max)","Accounts Receivable",NA,240,117504.9
"778","Inventory Asset","Invoice","2018-02-23","71094","Miscellaneous - Retail:David Lo","Chestnut (3/60 watt)  Marble Glass","Accounts Receivable",NA,195.56,117309.34
"779","Inventory Asset","Invoice","2018-02-23","71094","Miscellaneous - Retail:David Lo","Pearl Nickle, 5 Light, Medium Base (100 watt max)","Accounts Receivable",NA,80,117229.34
"780","Inventory Asset","Invoice","2018-02-23","71094","Miscellaneous - Retail:David Lo","18x8x10, Solid Brass, 3-60watt Medium Base, Satin Etched Glass","Accounts Receivable",NA,64,117165.34
"781","Inventory Asset","Invoice","2018-02-27","71052","Baker's Professional Lighting:Store #15","Acid Verde, 10x21x10, 2-60 watt cand.","Accounts Receivable",NA,120,117045.34
"782","Inventory Asset","Invoice","2018-02-27","71052","Baker's Professional Lighting:Store #15","Polished Brass Pendant, 1-100 watt Medium Base, Clear Ribbed Glass","Accounts Receivable",NA,96,116949.34
"783","Inventory Asset","Invoice","2018-02-27","71052","Baker's Professional Lighting:Store #15","River Rock (8/60 watt)  Faux Alabaster Glass","Accounts Receivable",NA,150,116799.34
"784","Inventory Asset","Invoice","2018-02-27","71052","Baker's Professional Lighting:Store #15","Brushed Nickel, 18x7.75x6, 3-60 watt Medium Base, Satin Opal Glass","Accounts Receivable",NA,55.5,116743.84
"785","Inventory Asset","Invoice","2018-02-27","71052","Baker's Professional Lighting:Store #15","Halogen Lamp, 20 watts, Luminous Intensity","Accounts Receivable",NA,6,116737.84
"786","Inventory Asset","Invoice","2018-02-27","71052","Baker's Professional Lighting:Store #15","Specialty, Stage & Studio Bulbs  60 watt","Accounts Receivable",NA,10,116727.84
"787","Inventory Asset","Invoice","2018-02-27","71052","Baker's Professional Lighting:Store #15","2032 Series, (3-60 watt, Med) Desert Stone Finish","Accounts Receivable",NA,72,116655.84
"788","Inventory Asset","Invoice","2018-02-27","71052","Baker's Professional Lighting:Store #15","Tapestry (8/60 watt)  Faux Alabaster Glass","Accounts Receivable",NA,75,116580.84
"789","Inventory Asset","Invoice","2018-02-27","71052","Baker's Professional Lighting:Store #15","Drop Opal w/Solid Oak Frame, 49 1/2 x 17, 120v HPF","Accounts Receivable",NA,60,116520.84
"790","Inventory Asset","Invoice","2018-02-27","71052","Baker's Professional Lighting:Store #15","Fluorescent Lamp, T-5, Bipin","Accounts Receivable",NA,2.7,116518.14
"791","Inventory Asset","Bill","2018-03-01","7866-92","Foster Lighting","Tapestry, (2-60 watt Med), Etched Cracked Glass, Finish 10","Accounts Payable",75,NA,116593.14
"792","Inventory Asset","Bill","2018-03-01","7866-92","Foster Lighting","Frosted Taupe (3/60 watt)  Marble Glass  ","Accounts Payable",510,NA,117103.14
"793","Inventory Asset","Bill","2018-03-01","7866-92","Foster Lighting","Brushed Nickel, (3-60 watt, Med) Ribbed Glass","Accounts Payable",120,NA,117223.14
"794","Inventory Asset","Bill","2018-03-09","R909878","Paulsen's Lighting","Vianne Lanterns, Satin Antiqued Solid Brass, 3-light wall latern, Candelabra base (60 watt max)","Accounts Payable",4800,NA,122023.14
"795","Inventory Asset","Bill","2018-03-09","R909878","Paulsen's Lighting","Golden Umber (100 watt)  Six Light Chandelier","Accounts Payable",8500,NA,130523.14
"796","Inventory Asset","Bill","2018-03-09","R909878","Paulsen's Lighting","Burnished Brass (60 watt)  w/Golden Umber Accents","Accounts Payable",7500,NA,138023.14
"797","Inventory Asset","Invoice","2018-03-11","71048","Baker's Professional Lighting:Store #20","Die Cast Lanterns, Black, 1-100 watt, Medium Base, Clear Cracked Glass","Accounts Receivable",NA,190,137833.14
"798","Inventory Asset","Invoice","2018-03-11","71048","Baker's Professional Lighting:Store #20","Polished Brass Pendant, 1-100 watt Medium Base, Clear Ribbed Glass","Accounts Receivable",NA,224,137609.14
"799","Inventory Asset","Invoice","2018-03-11","71048","Baker's Professional Lighting:Store #20","Golden Umber (100 watt)  Six Light Chandelier","Accounts Receivable",NA,170,137439.14
"800","Inventory Asset","Invoice","2018-03-11","71048","Baker's Professional Lighting:Store #20","Pendant Bar, Cobblestone, 50lbs. max","Accounts Receivable",NA,11.37,137427.77
"801","Inventory Asset","Invoice","2018-03-11","71048","Baker's Professional Lighting:Store #20","Broadway Collection, Polished Brass, 6 Light (60 watt max)","Accounts Receivable",NA,90,137337.77
"802","Inventory Asset","Invoice","2018-03-11","71048","Baker's Professional Lighting:Store #20","Black Finish, Solid Brass, Clear Glass, Hanging, 2-60 watt max.","Accounts Receivable",NA,19.19,137318.58
"803","Inventory Asset","Invoice","2018-03-11","71048","Baker's Professional Lighting:Store #20","Cand. Light, 20 watts (8 pack)","Accounts Receivable",NA,12,137306.58
"804","Inventory Asset","Invoice","2018-03-11","71048","Baker's Professional Lighting:Store #20","Specialty Bulbs, 100 watt (6 pack)","Accounts Receivable",NA,4.75,137301.83
"805","Inventory Asset","Invoice","2018-03-12","71049","Lavery Lighting & Design:Store #JL-06","Tapestry, (2-60 watt Med), Etched Cracked Glass, Finish 10","Accounts Receivable",NA,75,137226.83
"806","Inventory Asset","Invoice","2018-03-12","71049","Lavery Lighting & Design:Store #JL-06","Frosted Taupe (3/60 watt)  Marble Glass  ","Accounts Receivable",NA,535.26,136691.57
"807","Inventory Asset","Invoice","2018-03-12","71049","Lavery Lighting & Design:Store #JL-06","Brushed Nickel, (3-60 watt, Med) Ribbed Glass","Accounts Receivable",NA,120,136571.57
"808","Inventory Asset","Invoice","2018-03-12","71049","Lavery Lighting & Design:Store #JL-06","Vianne Lanterns, Satin Antiqued Solid Brass, 3-light wall latern, Candelabra base (60 watt max)","Accounts Receivable",NA,481.43,136090.14
"809","Inventory Asset","Invoice","2018-03-12","71049","Lavery Lighting & Design:Store #JL-06","Athena Collection, Pendant, Textured White, Med. Base, 100 watt max.","Accounts Receivable",NA,360,135730.14
"810","Inventory Asset","Invoice","2018-03-12","71049","Lavery Lighting & Design:Store #JL-06","Pendant Bar, Textured White, 50lbs max","Accounts Receivable",NA,40,135690.14
"811","Inventory Asset","Invoice","2018-03-12","71049","Lavery Lighting & Design:Store #JL-06","Sunset, Clear Glass, 1-100 watt max.","Accounts Receivable",NA,105,135585.14
"812","Inventory Asset","Invoice","2018-03-12","71049","Lavery Lighting & Design:Store #JL-06","Specialty, Stage & Studio Bulbs  60 watt","Accounts Receivable",NA,37.5,135547.64
"813","Inventory Asset","Invoice","2018-03-12","71049","Lavery Lighting & Design:Store #JL-06","Specialty Bulbs, 100 watt (6 pack)","Accounts Receivable",NA,9.5,135538.14
"814","Inventory Asset","Invoice","2018-03-15","71056","Miscellaneous - Retail:Mr. Fred Kaseman","Die Cast Lanterns, Black, 1-100 watt, Medium Base, Clear Cracked Glass","Accounts Receivable",NA,190,135348.14
"815","Inventory Asset","Invoice","2018-03-15","71056","Miscellaneous - Retail:Mr. Fred Kaseman","Black Finish, Solid Brass, Hanging w/Clear Glass (2x60watt max)","Accounts Receivable",NA,120,135228.14
"816","Inventory Asset","Invoice","2018-03-15","71056","Miscellaneous - Retail:Mr. Fred Kaseman","Verona Collection, Pendant, Cobblestone, Etched Alabaster Glass, 150 watt max","Accounts Receivable",NA,280,134948.14
"817","Inventory Asset","Invoice","2018-03-15","71056","Miscellaneous - Retail:Mr. Fred Kaseman","Pendant Bar, Cobblestone, 50lbs. max","Accounts Receivable",NA,45.48,134902.66
"818","Inventory Asset","Invoice","2018-03-15","71056","Miscellaneous - Retail:Mr. Fred Kaseman","Frosted Taupe (3/60 watt)  Marble Glass  ","Accounts Receivable",NA,178.42,134724.24
"819","Inventory Asset","Invoice","2018-03-15","71056","Miscellaneous - Retail:Mr. Fred Kaseman","Broadway Collection, Polished Brass, 6 Light (60 watt max)","Accounts Receivable",NA,90,134634.24
"820","Inventory Asset","Invoice","2018-03-26","71065","Godwin Lighting Depot:Store #303","Vianne Lanterns, Satin Antiqued Solid Brass, 3-light wall latern, Candelabra base (60 watt max)","Accounts Receivable",NA,192.57,134441.67
"821","Inventory Asset","Invoice","2018-03-26","71065","Godwin Lighting Depot:Store #303","Renaissance Collection, (100 watt max) Millstone Finish, One-light","Accounts Receivable",NA,131.82,134309.85
"822","Inventory Asset","Invoice","2018-03-26","71065","Godwin Lighting Depot:Store #303","Drop Opal w/Solid Oak Frame, 49 1/2 x 17, 120v HPF","Accounts Receivable",NA,40,134269.85
"823","Inventory Asset","Invoice","2018-03-26","71065","Godwin Lighting Depot:Store #303","Beveled Mirror, Etched Ribbed Glass (75 watt max)","Accounts Receivable",NA,72.38,134197.47
"824","Inventory Asset","Invoice","2018-03-26","71065","Godwin Lighting Depot:Store #303","Chestnut (3/60 watt)  Marble Glass","Accounts Receivable",NA,195.56,134001.91
"825","Inventory Asset","Invoice","2018-03-26","71065","Godwin Lighting Depot:Store #303","2032 Series, (3-60 watt, Med) Desert Stone Finish","Accounts Receivable",NA,60,133941.91
"826","Inventory Asset","Invoice","2018-03-26","71065","Godwin Lighting Depot:Store #303","Pearl Nickle, 5 Light, Medium Base (100 watt max)","Accounts Receivable",NA,80,133861.91
"827","Inventory Asset","Invoice","2018-03-26","71065","Godwin Lighting Depot:Store #303","Verona Collection, Pendant, Cobblestone, Etched Alabaster Glass, 150 watt max","Accounts Receivable",NA,280,133581.91
"828","Inventory Asset","Invoice","2018-03-26","71065","Godwin Lighting Depot:Store #303","Pendant Bar, Cobblestone, 50lbs. max","Accounts Receivable",NA,45.48,133536.43
"829","Inventory Asset","Invoice","2018-03-26","71065","Godwin Lighting Depot:Store #303","Cand. Light, 20 watts (8 pack)","Accounts Receivable",NA,36,133500.43
"830","Inventory Asset","Invoice","2018-03-26","71065","Godwin Lighting Depot:Store #303","Fluorescent Lamp, T-12, Medium Bipin  (30pack)","Accounts Receivable",NA,6.34,133494.09
"831","Inventory Asset","Invoice","2018-03-26","71065","Godwin Lighting Depot:Store #303","Halogen Lamp, 20 watts, Luminous Intensity","Accounts Receivable",NA,24,133470.09
"832","Inventory Asset","Invoice","2018-03-26","71065","Godwin Lighting Depot:Store #303","Specialty Bulbs, 100 watt (6 pack)","Accounts Receivable",NA,9.5,133460.59
"833","Inventory Asset","Invoice","2018-03-26","71065","Godwin Lighting Depot:Store #303","Specialty, Stage & Studio Bulbs  60 watt","Accounts Receivable",NA,22.5,133438.09
"834","Inventory Asset","Invoice","2018-03-27","71060","Godwin Lighting Depot:Store #404","Black Finish, Solid Brass, Clear Glass, Hanging, 2-60 watt max.","Accounts Receivable",NA,57.57,133380.52
"835","Inventory Asset","Invoice","2018-03-27","71060","Godwin Lighting Depot:Store #404","Black Finish, Solid Brass,Wall Mount w/Clear Glass (2x60watt max)","Accounts Receivable",NA,200,133180.52
"836","Inventory Asset","Invoice","2018-03-27","71060","Godwin Lighting Depot:Store #404","Tapestry (8/60 watt)  Faux Alabaster Glass","Accounts Receivable",NA,150,133030.52
"837","Inventory Asset","Invoice","2018-03-27","71060","Godwin Lighting Depot:Store #404","Athena Collection, (100 watt max) Copper Verde, Seeded Glass","Accounts Receivable",NA,160.71,132869.81
"838","Inventory Asset","Invoice","2018-03-27","71060","Godwin Lighting Depot:Store #404","Broadway Collection, Polished Chrome, 4 Light (60 watt max)","Accounts Receivable",NA,126,132743.81
"839","Inventory Asset","Invoice","2018-03-27","71060","Godwin Lighting Depot:Store #404","Halogen Lamp, Volts:3.5  Tubular","Accounts Receivable",NA,5,132738.81
"840","Inventory Asset","Invoice","2018-03-27","71060","Godwin Lighting Depot:Store #404","Specialty Bulbs, 100 watt (6 pack)","Accounts Receivable",NA,9.5,132729.31
"841","Inventory Asset","Invoice","2018-03-27","71060","Godwin Lighting Depot:Store #404","Specialty, Stage & Studio Bulbs  60 watt","Accounts Receivable",NA,17.5,132711.81
"842","Inventory Asset","Invoice","2018-03-27","71060","Godwin Lighting Depot:Store #404","Fluorescent Lamp, T-12, Medium Bipin  (30pack)","Accounts Receivable",NA,6.34,132705.47
"843","Inventory Asset","Invoice","2018-03-27","71060","Godwin Lighting Depot:Store #404","Domes, White, 59x21x6 5/8 ht, 120v HPF","Accounts Receivable",NA,36,132669.47
"844","Inventory Asset","Invoice","2018-03-28","71071","Dan A. North Builders:McCarthy Properties","Flat Glass, (25 watt max) Polished Brass, 4 light","Accounts Receivable",NA,750,131919.47
"845","Inventory Asset","Invoice","2018-03-28","71071","Dan A. North Builders:McCarthy Properties","Domes, White, 59x21x6 5/8 ht, 120v HPF","Accounts Receivable",NA,1800,130119.47
"846","Inventory Asset","Invoice","2018-03-28","71071","Dan A. North Builders:McCarthy Properties","Flush Mount, Polished Brass (2, 13 watt)  White acrylic diffuser","Accounts Receivable",NA,400,129719.47
"847","Inventory Asset","Invoice","2018-03-28","71071","Dan A. North Builders:McCarthy Properties","Halogen Lamp, Volts:3.5  Tubular","Accounts Receivable",NA,50,129669.47
"848","Inventory Asset","Invoice","2018-03-28","71071","Dan A. North Builders:McCarthy Properties","Fluorescent Lamp, T-5, Bipin","Accounts Receivable",NA,30,129639.47
"849","Inventory Asset","Invoice","2018-03-28","71071","Dan A. North Builders:McCarthy Properties","Fluorescent Lamp, T-12, Medium Bipin  (30pack)","Accounts Receivable",NA,63.43,129576.04
"850","Inventory Asset","Invoice","2018-03-28","71071","Dan A. North Builders:McCarthy Properties","Drop Opal w/Solid Oak Frame, 49 1/2 x 17, 120v HPF","Accounts Receivable",NA,640,128936.04
"851","Inventory Asset","Invoice","2018-03-28","71125","Kern Lighting Warehouse:Store #45","Vianne Lanterns, Satin Antiqued Solid Brass, 3-light wall latern, Candelabra base (60 watt max)","Accounts Receivable",NA,1396.14,127539.9
"852","Inventory Asset","Invoice","2018-03-28","71125","Kern Lighting Warehouse:Store #45","Cand. Light, 20 watts (8 pack)","Accounts Receivable",NA,2400,125139.9
"853","Inventory Asset","Invoice","2018-04-10","71057","Miscellaneous - Retail:Mr. Jay Jessen","Chestnut (3/60 watt)  Marble Glass","Accounts Receivable",NA,293.33,124846.57
"854","Inventory Asset","Invoice","2018-04-10","71057","Miscellaneous - Retail:Mr. Jay Jessen","Domes, White, 59x21x6 5/8 ht, 120v HPF","Accounts Receivable",NA,72,124774.57
"855","Inventory Asset","Invoice","2018-04-10","71057","Miscellaneous - Retail:Mr. Jay Jessen","Drop Opal w/Solid Oak Frame, 49 1/2 x 17, 120v HPF","Accounts Receivable",NA,40,124734.57
"856","Inventory Asset","Invoice","2018-04-13","71126","Kern Lighting Warehouse:Store #13","Golden Umber (100 watt)  Six Light Chandelier","Accounts Receivable",NA,3400,121334.57
"857","Inventory Asset","Bill","2018-04-16","0987","Foster Lighting","Die Cast Lanterns, Black, 1-100 watt, Medium Base, Clear Cracked Glass","Accounts Payable",3900,NA,125234.57
"858","Inventory Asset","Bill","2018-04-16","0987","Foster Lighting","18x8x10, Solid Brass, 3-60watt Medium Base, Satin Etched Glass","Accounts Payable",1650,NA,126884.57
"859","Inventory Asset","Bill","2018-04-16","8284","Hall Lighting & Accessories","Black Finish, Solid Brass, Clear Glass, Hanging, 2-60 watt max.","Accounts Payable",2310,NA,129194.57
"860","Inventory Asset","Bill","2018-04-16","8284","Hall Lighting & Accessories","Sunset, Clear Glass, 1-100 watt max.","Accounts Payable",2187.5,NA,131382.07
"861","Inventory Asset","Bill","2018-04-16","8284","Hall Lighting & Accessories","Beveled Mirror, Etched Ribbed Glass (75 watt max)","Accounts Payable",2250,NA,133632.07
"862","Inventory Asset","Bill","2018-04-16","0987","Paulsen's Lighting","Flat Glass, (25 watt max) Polished Brass, 4 light","Accounts Payable",1225,NA,134857.07
"863","Inventory Asset","Bill","2018-04-16","0987","Paulsen's Lighting","Domes, White, 59x21x6 5/8 ht, 120v HPF","Accounts Payable",1900,NA,136757.07
"864","Inventory Asset","Bill","2018-04-16","0987","Paulsen's Lighting","Flush Mount, Polished Brass (2, 13 watt)  White acrylic diffuser","Accounts Payable",2000,NA,138757.07
"865","Inventory Asset","Bill","2018-04-16","0987","Paulsen's Lighting","Drop Opal w/Solid Oak Frame, 49 1/2 x 17, 120v HPF","Accounts Payable",2150,NA,140907.07
"866","Inventory Asset","Bill","2018-04-16","0987","Paulsen's Lighting","Pendant Bar, Textured White, 50lbs max","Accounts Payable",550,NA,141457.07
"867","Inventory Asset","Invoice","2018-04-16","71087","Cole Home Builders:Phase 1 - Lot 5","Die Cast Lanterns, Black, 1-100 watt, Medium Base, Clear Cracked Glass","Accounts Receivable",NA,231.19,141225.88
"868","Inventory Asset","Invoice","2018-04-16","71087","Cole Home Builders:Phase 1 - Lot 5","Tapestry, (2-60 watt Med), Etched Cracked Glass, Finish 10","Accounts Receivable",NA,90,141135.88
"869","Inventory Asset","Invoice","2018-04-16","71087","Cole Home Builders:Phase 1 - Lot 5","Pearl Nickle, 5 Light, Medium Base (100 watt max)","Accounts Receivable",NA,160,140975.88
"870","Inventory Asset","Invoice","2018-04-16","71087","Cole Home Builders:Phase 1 - Lot 5","Sunset, Clear Glass, 1-100 watt max.","Accounts Receivable",NA,70,140905.88
"871","Inventory Asset","Invoice","2018-04-16","71087","Cole Home Builders:Phase 1 - Lot 5","Black Finish, Solid Brass, Clear Glass, Hanging, 2-60 watt max.","Accounts Receivable",NA,57.66,140848.22
"872","Inventory Asset","Invoice","2018-04-16","71087","Cole Home Builders:Phase 1 - Lot 5","Burnished Brass (60 watt)  w/Golden Umber Accents","Accounts Receivable",NA,75,140773.22
"873","Inventory Asset","Invoice","2018-04-16","71087","Cole Home Builders:Phase 1 - Lot 5","Chestnut (3/60 watt)  Marble Glass","Accounts Receivable",NA,97.78,140675.44
"874","Inventory Asset","Invoice","2018-04-16","71087","Cole Home Builders:Phase 1 - Lot 5","Pendant Bar, Textured White, 50lbs max","Accounts Receivable",NA,10.77,140664.67
"875","Inventory Asset","Invoice","2018-04-16","71087","Cole Home Builders:Phase 1 - Lot 5","Athena Collection, (100 watt max) Copper Verde, Seeded Glass","Accounts Receivable",NA,32.14,140632.53
"876","Inventory Asset","Invoice","2018-04-16","71087","Cole Home Builders:Phase 1 - Lot 5","Cand. Light, 20 watts (8 pack)","Accounts Receivable",NA,24,140608.53
"877","Inventory Asset","Invoice","2018-04-16","71087","Cole Home Builders:Phase 1 - Lot 5","Fluorescent Lamp, T-12, Medium Bipin  (30pack)","Accounts Receivable",NA,6.34,140602.19
"878","Inventory Asset","Invoice","2018-04-16","71087","Cole Home Builders:Phase 1 - Lot 5","Fluorescent Lamp, T-5, Bipin","Accounts Receivable",NA,6,140596.19
"879","Inventory Asset","Invoice","2018-04-16","71087","Cole Home Builders:Phase 1 - Lot 5","Halogen Lamp, Volts:3.5  Tubular","Accounts Receivable",NA,2.5,140593.69
"880","Inventory Asset","Invoice","2018-04-16","71087","Cole Home Builders:Phase 1 - Lot 5","Specialty Bulbs, 100 watt (6 pack)","Accounts Receivable",NA,9.5,140584.19
"881","Inventory Asset","Invoice","2018-04-16","71087","Cole Home Builders:Phase 1 - Lot 5","Specialty, Stage & Studio Bulbs  60 watt","Accounts Receivable",NA,20,140564.19
"882","Inventory Asset","Invoice","2018-04-16","71087","Cole Home Builders:Phase 1 - Lot 5","Flat Glass, (25 watt max) Polished Brass, 4 light","Accounts Receivable",NA,48.49,140515.7
"883","Inventory Asset","Invoice","2018-04-16","71087","Cole Home Builders:Phase 1 - Lot 5","Beveled Mirror, Etched Ribbed Glass (75 watt max)","Accounts Receivable",NA,48.99,140466.71
"884","Inventory Asset","Invoice","2018-04-17","71061","Godwin Lighting Depot:Store #202","Black Finish, Solid Brass, Clear Glass, Hanging, 2-60 watt max.","Accounts Receivable",NA,57.66,140409.05
"885","Inventory Asset","Invoice","2018-04-17","71061","Godwin Lighting Depot:Store #202","Black Finish, Solid Brass,Wall Mount w/Clear Glass (2x60watt max)","Accounts Receivable",NA,200,140209.05
"886","Inventory Asset","Invoice","2018-04-17","71061","Godwin Lighting Depot:Store #202","Tapestry (8/60 watt)  Faux Alabaster Glass","Accounts Receivable",NA,150,140059.05
"887","Inventory Asset","Invoice","2018-04-17","71061","Godwin Lighting Depot:Store #202","Athena Collection, (100 watt max) Copper Verde, Seeded Glass","Accounts Receivable",NA,160.71,139898.34
"888","Inventory Asset","Invoice","2018-04-17","71061","Godwin Lighting Depot:Store #202","Broadway Collection, Polished Chrome, 4 Light (60 watt max)","Accounts Receivable",NA,126,139772.34
"889","Inventory Asset","Invoice","2018-04-17","71061","Godwin Lighting Depot:Store #202","Halogen Lamp, Volts:3.5  Tubular","Accounts Receivable",NA,5,139767.34
